course,n_assignment,n_posts,n_read,n_quiz,n_quiz_a,n_quiz_s,total_time_assignment,total_time_quiz,total_time_forum,mark
110,11,0,0,12,9,3,1681,6412,2158,PASS
110,10,0,0,11,8,3,98,6709,553,PASS
110,8,7,0,7,6,1,1153,3534,6684,FAIL
110,11,0,0,10,5,5,1149,5608,292,PASS
110,9,0,0,13,9,4,1382,8916,5703,PASS
110,8,1,0,13,9,4,908,7293,5640,PASS
110,9,0,0,11,8,3,768,3396,1800,PASS
110,10,5,0,12,8,4,661,5062,1535,PASS
110,10,4,0,13,9,4,664,6035,7763,PASS
110,11,1,0,11,9,2,1554,4114,0,PASS
110,10,1,0,13,9,4,403,2910,3157,PASS
110,9,0,0,11,7,4,888,5162,799,FAIL
110,10,4,0,12,9,3,678,5620,1705,PASS
110,10,2,0,13,9,4,772,4080,1139,PASS
110,9,0,0,12,7,5,698,4796,1217,FAIL
110,10,0,0,11,9,2,985,4132,515,PASS
110,11,2,0,12,9,3,1020,3000,1975,PASS
110,11,3,0,12,9,3,1039,5725,3725,PASS
110,8,5,0,7,3,4,384,4028,4311,FAIL
110,9,2,0,12,8,4,1099,6662,3287,PASS
110,11,0,0,12,7,5,1095,4848,1988,PASS
110,10,2,0,12,8,4,532,8107,1719,PASS
110,10,2,0,13,8,5,1626,6287,4764,PASS
110,11,4,0,13,9,4,361,5370,3722,PASS
110,9,0,0,12,9,3,2157,4815,931,PASS
110,11,3,0,12,7,5,2102,4002,3964,PASS
110,9,0,0,10,7,3,607,4536,196,FAIL
110,9,0,0,11,7,4,790,5593,0,FAIL
110,11,2,0,10,8,2,1283,5178,2610,PASS
110,10,0,0,11,7,4,313,7303,216,FAIL
110,10,0,0,12,8,4,649,6323,419,FAIL
110,10,0,0,12,9,3,1340,5007,1090,PASS
110,10,1,0,10,9,1,560,2788,1466,PASS
110,10,0,0,12,9,3,212,5399,0,PASS
110,11,0,0,11,6,5,922,4308,1757,PASS
110,11,2,0,13,8,5,1188,5736,1912,PASS
110,11,3,0,12,8,4,1596,6465,13299,PASS
110,10,1,0,11,8,3,827,2355,1412,FAIL
110,10,0,0,12,6,6,727,4788,2015,PASS
110,11,6,0,10,7,3,3061,7215,0,PASS
110,9,0,0,12,7,5,1116,3883,1318,PASS
110,11,3,0,10,4,6,679,4783,4444,PASS
110,9,0,0,13,8,5,812,7483,1031,PASS
110,10,0,0,12,8,4,694,4245,1717,PASS
110,10,0,0,6,4,2,766,1639,133,FAIL
110,10,2,0,12,8,4,842,6174,0,PASS
110,10,0,0,11,9,2,523,3917,1177,PASS
110,9,2,0,11,9,2,587,6498,0,PASS
110,9,3,0,8,6,2,1017,3570,5367,PASS
110,10,0,0,12,9,3,836,4598,1457,PASS
110,11,7,0,13,9,4,1465,8164,10497,PASS
110,10,0,0,11,9,2,1033,5976,0,PASS
110,10,5,0,13,8,5,663,4276,0,PASS
110,10,2,0,13,9,4,723,4918,1926,PASS
110,10,6,0,12,9,3,1077,8700,4636,PASS
110,9,0,0,11,8,3,1014,3875,929,PASS
110,11,0,0,13,5,8,1685,5083,252,FAIL
110,11,0,0,11,6,5,1080,2656,140,FAIL
110,9,2,0,13,8,5,461,4360,5290,PASS
110,10,1,0,13,8,5,991,0,1056,PASS
110,0,0,0,2,1,1,17,561,923,FAIL
110,11,2,0,10,7,3,1021,6469,3268,PASS
