NumberOfLogins,TimeSpentOnPlatform,NumberOfTests,TimeSpentForTests,AverageTimePerTest,NumberOfConcepts,NumberOfActions,NumberOfRevisions,LastGrade,MeanTestsGrade,MeanTestsGradeD,ExamGradeD,label
7,150,4,19,3.8,10,57,11,10,9.77,10,7,1
7,144,7,47,5.88,11,54,10,3.7,5.8,6,6,1
2,32,4,23,4.6,11,21,1,9.1,9.77,10,6,1
10,350,6,52,7.43,11,101,13,7.3,7.15,7,9,1
4,93,4,13,2.6,11,35,5,5.5,5.28,5,4,0
3,47,5,32,5.33,11,41,6,5.5,5.81,6,7,1
7,133,4,20,4,10,49,6,10,9.55,10,7,1
10,326,6,46,6.57,11,81,10,8.2,7.26,7,9,1
9,291,7,51,6.38,11,64,13,3.7,3.87,4,4,0
4,154,5,22,3.67,11,38,6,8.2,5.5,6,5,1
2,28,3,12,3,0,16,1,3.7,3.79,4,6,1
8,311,5,37,6.17,11,62,13,8.2,5.32,5,6,1
5,163,4,19,3.8,11,46,5,4.6,6.36,6,7,1
8,185,7,56,7,11,66,12,5.5,6.05,6,10,1
9,306,8,56,6.22,11,72,11,9.1,5.44,5,6,1
6,163,4,26,5.2,8,38,4,7.3,8.2,8,6,1
10,344,7,41,5.13,11,93,17,6.22,4.66,5,6,1
2,46,4,37,7.4,11,33,5,7.3,6.63,7,6,1
9,143,6,36,5.14,10,59,9,6.4,5.84,6,10,1
4,208,2,15,5,0,22,2,4.6,4.15,4,8,1
1,10,1,2,1,0,5,0,4.6,4.6,5,4,0
4,91,2,5,2.5,0,26,3,4.6,4.6,5,4,0
6,178,7,38,5.43,11,56,9,7.3,6.8,7,9,1
11,196,19,77,3.85,11,149,21,9.1,5.94,6,7,1
7,276,6,39,5.57,11,83,11,7.3,6.45,6,6,1
7,139,11,26,2.17,10,84,9,4.6,5.45,5,6,1
3,159,4,26,5.2,11,32,3,9.1,8.42,8,7,1
3,92,4,9,1.8,10,33,4,10,9.77,10,7,1
11,302,8,41,5.13,10,92,21,6.4,7.61,8,8,1
14,602,6,49,7,11,104,18,7.3,8.5,8,6,1
11,252,8,24,2.67,11,101,27,9.1,8.76,9,10,1
4,73,5,26,5.2,11,42,8,7.3,7.75,8,7,1
7,79,16,14,2.33,11,82,10,10,7.84,8,5,1
8,229,6,25,3.57,11,58,9,10,9.7,10,6,1
9,296,5,40,6.67,11,54,5,5.5,5.37,5,7,1
3,49,5,37,6.17,10,33,6,9.1,7.84,8,6,1
2,18,4,3,0.6,10,19,0,5.5,4.38,4,4,0
7,183,4,15,3,0,54,9,8.2,6.69,7,10,1
1,34,4,19,3.8,11,15,0,8.2,8.69,9,6,1
15,603,8,57,6.33,11,121,29,9.1,8.37,8,9,1
4,182,5,26,4.33,11,37,6,9.28,8.78,9,4,0
15,505,7,22,4.4,11,98,12,5.5,7.37,7,5,1
17,500,9,30,3.75,11,164,43,8.2,5.76,6,5,1
24,521,23,32,2.91,11,230,43,9.1,8.04,8,10,1
8,309,4,14,2.8,11,44,5,10,9.62,10,7,1
7,181,5,39,6.5,11,49,8,7.75,7.03,7,6,1
1,13,1,7,3.5,0,10,1,8.2,8.2,8,10,1
12,503,8,25,2.78,11,81,12,3.97,9.13,9,7,1
11,152,9,33,6.6,11,83,14,6.4,5.61,6,6,1
20,560,15,29,2.64,11,135,21,8.2,7.79,8,7,1
1,31,6,16,2.29,11,25,2,10,9.55,10,6,1
4,94,4,12,2.4,10,35,3,4.6,4.82,5,7,1
9,314,6,41,5.86,11,99,10,5.5,6.3,6,9,1
6,197,4,28,5.6,11,49,15,9.28,9.64,10,6,1
10,375,11,38,3.17,11,117,22,10,8.8,9,7,1
8,293,7,37,5.29,11,52,4,4.6,4.68,5,9,1
17,948,6,37,5.29,11,129,28,9.1,8.35,8,8,1
3,30,2,9,4.5,0,19,1,4.6,4.6,5,6,1
4,114,7,27,3.38,11,56,12,7.3,5.81,6,6,1
