,RandomForest,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost,K-nearest-neighbor
remove_outliers_none + features_selection_none + oversampling_none,0.6666666666666666,0.5,0.0,0.5,0.0,0.25,0.6666666666666666,
remove_outliers_none + features_selection_extratrees + oversampling_none,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.6666666666666666,0.5
remove_outliers_none + features_selection_mutual_information + oversampling_none,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.4,0.6666666666666666,0.6666666666666666
remove_outliers_none + features_selection_rfe + oversampling_none,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.4,0.6666666666666666,0.6666666666666666
remove_outliers_none + features_selection_variance_threshold + oversampling_none,0.6666666666666666,0.5,0.6666666666666666,0.5,0.0,0.25,0.6666666666666666,
remove_outliers_isolation_forest + features_selection_none + oversampling_none,0.6666666666666666,0.5,0.5,0.5,0.0,0.25,0.6666666666666666,
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_none,0.6666666666666666,0.0,0.5,0.6666666666666666,0.0,0.5,0.6666666666666666,0.5
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_none,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.0,0.4,0.6666666666666666,0.6666666666666666
remove_outliers_isolation_forest + features_selection_rfe + oversampling_none,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.4,0.6666666666666666,0.6666666666666666
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_none,0.6666666666666666,0.0,0.5,0.5,0.0,0.25,0.6666666666666666,
remove_outliers_zscore + features_selection_none + oversampling_none,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0,0.28571428571428575,0.6666666666666666,
remove_outliers_zscore + features_selection_extratrees + oversampling_none,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.6666666666666666,0.0
remove_outliers_zscore + features_selection_mutual_information + oversampling_none,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.25,0.6666666666666666,0.0
remove_outliers_zscore + features_selection_rfe + oversampling_none,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0
remove_outliers_zscore + features_selection_variance_threshold + oversampling_none,0.6666666666666666,0.0,0.6666666666666666,0.5,0.0,0.28571428571428575,0.6666666666666666,
remove_outliers_iqr + features_selection_none + oversampling_none,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.6666666666666666,
remove_outliers_iqr + features_selection_extratrees + oversampling_none,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,0.0,0.5,0.6666666666666666,0.0
remove_outliers_iqr + features_selection_mutual_information + oversampling_none,0.5,0.8,0.0,0.6666666666666666,0.0,0.5,0.6666666666666666,0.0
remove_outliers_iqr + features_selection_rfe + oversampling_none,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.4,0.0,0.0
remove_outliers_iqr + features_selection_variance_threshold + oversampling_none,0.5,0.6666666666666666,0.8,0.6666666666666666,0.0,0.5,0.6666666666666666,
