,RandomForest,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost,K-nearest-neighbor
remove_outliers_none + features_selection_none + oversampling_none,0.8973829201101928,0.8901515151515151,0.8557162534435262,0.9077134986225895,0.856404958677686,0.8202479338842975,0.8963498622589532,
remove_outliers_none + features_selection_none + oversampling_smote,0.9018595041322314,0.8863636363636364,0.8474517906336089,0.9042699724517906,0.871900826446281,0.8254132231404959,0.8977272727272727,
remove_outliers_none + features_selection_none + oversampling_svm_smote,0.8991046831955923,0.887396694214876,0.8353994490358126,0.9025482093663911,0.871900826446281,0.8264462809917356,0.8946280991735537,
remove_outliers_none + features_selection_none + oversampling_adasyn,0.8984159779614325,0.8832644628099173,0.8378099173553719,0.9004820936639119,0.8674242424242424,0.8126721763085399,0.8915289256198347,
remove_outliers_none + features_selection_none + oversampling_smote_borderline,0.8880853994490359,0.8860192837465565,0.8443526170798898,0.9015151515151515,0.8705234159779615,0.8081955922865014,0.8898071625344353,
remove_outliers_none + features_selection_extratrees + oversampling_none,0.8860192837465565,0.8891184573002755,0.8605371900826446,0.8784435261707989,0.8732782369146006,0.84400826446281,0.8753443526170799,0.8037190082644629
remove_outliers_none + features_selection_extratrees + oversampling_smote,0.8849862258953168,0.8808539944903582,0.8581267217630854,0.8767217630853994,0.8760330578512396,0.849862258953168,0.8715564738292011,0.865358126721763
remove_outliers_none + features_selection_extratrees + oversampling_svm_smote,0.8770661157024794,0.8818870523415978,0.8481404958677686,0.878099173553719,0.8674242424242424,0.8488292011019284,0.8619146005509641,0.8639807162534435
remove_outliers_none + features_selection_extratrees + oversampling_adasyn,0.8684573002754821,0.8805096418732782,0.8298898071625345,0.8787878787878788,0.8674242424242424,0.8502066115702479,0.8588154269972452,0.8446969696969697
remove_outliers_none + features_selection_extratrees + oversampling_smote_borderline,0.8732782369146006,0.8701790633608816,0.8422865013774105,0.8705234159779615,0.8608815426997245,0.8419421487603306,0.8629476584022039,0.8450413223140496
remove_outliers_none + features_selection_mutual_information + oversampling_none,0.8960055096418733,0.9035812672176309,0.8481404958677686,0.90633608815427,0.8794765840220385,0.8426308539944903,0.897038567493113,0.8584710743801653
remove_outliers_none + features_selection_mutual_information + oversampling_smote,0.8994490358126722,0.9070247933884298,0.846763085399449,0.9104683195592287,0.8832644628099173,0.849862258953168,0.8949724517906336,0.8591597796143251
remove_outliers_none + features_selection_mutual_information + oversampling_svm_smote,0.8860192837465565,0.8784435261707989,0.831267217630854,0.8801652892561983,0.8715564738292011,0.8450413223140496,0.8880853994490359,0.8502066115702479
remove_outliers_none + features_selection_mutual_information + oversampling_adasyn,0.893595041322314,0.8836088154269972,0.846763085399449,0.8877410468319559,0.8674242424242424,0.8460743801652892,0.8863636363636364,0.8429752066115702
remove_outliers_none + features_selection_mutual_information + oversampling_smote_borderline,0.8794765840220385,0.881198347107438,0.8402203856749312,0.8770661157024794,0.8691460055096418,0.8409090909090909,0.8760330578512396,0.8464187327823691
remove_outliers_none + features_selection_rfe + oversampling_none,0.9015151515151515,0.9108126721763086,0.8615702479338843,0.9111570247933884,0.8867079889807162,0.8409090909090909,0.8987603305785123,
remove_outliers_none + features_selection_rfe + oversampling_smote,0.8994490358126722,0.9022038567493113,0.8588154269972452,0.9022038567493113,0.8922176308539945,0.8550275482093664,0.893595041322314,
remove_outliers_none + features_selection_rfe + oversampling_svm_smote,0.8994490358126722,0.903236914600551,0.8539944903581267,0.900137741046832,0.8801652892561983,0.837465564738292,0.8949724517906336,
remove_outliers_none + features_selection_rfe + oversampling_adasyn,0.8966942148760331,0.9025482093663911,0.8347107438016529,0.9004820936639119,0.8863636363636364,0.8429752066115702,0.8915289256198347,
remove_outliers_none + features_selection_rfe + oversampling_smote_borderline,0.8911845730027548,0.8987603305785123,0.8577823691460055,0.9008264462809917,0.8739669421487604,0.8353994490358126,0.8980716253443526,
remove_outliers_none + features_selection_variance_threshold + oversampling_none,0.8991046831955923,0.8915289256198347,0.8505509641873278,0.9077134986225895,0.856404958677686,0.8202479338842975,0.8963498622589532,
remove_outliers_none + features_selection_variance_threshold + oversampling_smote,0.8994490358126722,0.897038567493113,0.8481404958677686,0.9035812672176309,0.8732782369146006,0.821625344352617,0.8908402203856749,
remove_outliers_none + features_selection_variance_threshold + oversampling_svm_smote,0.8946280991735537,0.8884297520661157,0.8488292011019284,0.9056473829201102,0.8701790633608816,0.8264462809917356,0.8887741046831956,
remove_outliers_none + features_selection_variance_threshold + oversampling_adasyn,0.8925619834710744,0.8839531680440771,0.8491735537190083,0.9011707988980716,0.8691460055096418,0.8140495867768595,0.893595041322314,
remove_outliers_none + features_selection_variance_threshold + oversampling_smote_borderline,0.9011707988980716,0.8798209366391184,0.8515840220385675,0.8997933884297521,0.8636363636363636,0.8099173553719008,0.8887741046831956,
remove_outliers_isolation_forest + features_selection_none + oversampling_none,0.897038567493113,0.8915289256198347,0.8608815426997245,0.9080578512396694,0.8553719008264463,0.8199035812672176,0.8939393939393939,
remove_outliers_isolation_forest + features_selection_none + oversampling_smote,0.8863636363636364,0.8839531680440771,0.8161157024793388,0.9025482093663911,0.8705234159779615,0.8133608815426997,0.893595041322314,
remove_outliers_isolation_forest + features_selection_none + oversampling_svm_smote,0.8973829201101928,0.8977272727272727,0.8278236914600551,0.9035812672176309,0.8770661157024794,0.8088842975206612,0.8960055096418733,
remove_outliers_isolation_forest + features_selection_none + oversampling_adasyn,0.8860192837465565,0.8787878787878788,0.8350550964187328,0.900137741046832,0.8722451790633609,0.8050964187327824,0.8925619834710744,
remove_outliers_isolation_forest + features_selection_none + oversampling_smote_borderline,0.8825757575757576,0.8856749311294766,0.824724517906336,0.903236914600551,0.8684573002754821,0.8054407713498623,0.8915289256198347,
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_none,0.8853305785123967,0.881198347107438,0.8422865013774105,0.8884297520661157,0.8619146005509641,0.8522727272727273,0.8753443526170799,0.871900826446281
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_smote,0.8808539944903582,0.8849862258953168,0.8388429752066116,0.881198347107438,0.8677685950413223,0.8577823691460055,0.8670798898071626,0.868801652892562
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_svm_smote,0.8822314049586777,0.8770661157024794,0.8395316804407713,0.8767217630853994,0.8660468319559229,0.8574380165289256,0.8677685950413223,0.8663911845730028
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_adasyn,0.8691460055096418,0.8794765840220385,0.8460743801652892,0.8746556473829201,0.8694903581267218,0.8546831955922864,0.8663911845730028,0.8415977961432507
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_smote_borderline,0.8708677685950413,0.8526170798898072,0.8350550964187328,0.8767217630853994,0.862603305785124,0.8560606060606061,0.8612258953168044,0.84366391184573
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_none,0.8949724517906336,0.9025482093663911,0.852961432506887,0.9073691460055097,0.8767217630853994,0.8422865013774105,0.8898071625344353,0.8515840220385675
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote,0.8777548209366391,0.8787878787878788,0.8395316804407713,0.8822314049586777,0.8770661157024794,0.8505509641873278,0.8801652892561983,0.8598484848484849
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_svm_smote,0.8908402203856749,0.8877410468319559,0.8508953168044077,0.8994490358126722,0.8736225895316805,0.8519283746556474,0.8925619834710744,0.8536501377410468
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_adasyn,0.8794765840220385,0.8805096418732782,0.849862258953168,0.8815426997245179,0.8743112947658402,0.8412534435261708,0.8836088154269972,0.8505509641873278
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote_borderline,0.8863636363636364,0.8801652892561983,0.8443526170798898,0.8722451790633609,0.8612258953168044,0.8536501377410468,0.8867079889807162,0.8426308539944903
remove_outliers_isolation_forest + features_selection_rfe + oversampling_none,0.8922176308539945,0.8973829201101928,0.8298898071625345,0.9084022038567493,0.8822314049586777,0.8378099173553719,0.8946280991735537,
