,RandomForest,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost,K-nearest-neighbor
remove_outliers_none + features_selection_none + oversampling_none,0.9186237028945932,0.911609864228318,0.8827972027972028,0.926655719759168,0.8900606380174005,0.8556415929203539,0.9179165530406328,
remove_outliers_none + features_selection_none + oversampling_smote,0.9212489638021554,0.9079241071428572,0.8751761059453367,0.9228634850166482,0.8963788300835656,0.8595956798670727,0.9186524239934264,
remove_outliers_none + features_selection_none + oversampling_svm_smote,0.9187239944521497,0.9088374686367439,0.8646659116647791,0.920750490058807,0.897407611693326,0.8619934282584885,0.915934065934066,
remove_outliers_none + features_selection_none + oversampling_adasyn,0.9181237857341105,0.9041018387553041,0.8658501851324409,0.9193863319386333,0.8907801418439716,0.8467605633802817,0.9132947976878613,
remove_outliers_none + features_selection_none + oversampling_smote_borderline,0.9089890786894428,0.9073607612650433,0.8728193584693302,0.9204229271007234,0.8933635847986386,0.8420754182024384,0.9112590127565169,
remove_outliers_none + features_selection_extratrees + oversampling_none,0.9095875443867796,0.9126898047722343,0.886839899413244,0.9047747504720799,0.9019189765458422,0.879617326601116,0.9003852504127683,0.8558421851289832
remove_outliers_none + features_selection_extratrees + oversampling_smote,0.9077348066298343,0.9034598214285714,0.8858093126385809,0.9006107717934481,0.9010989010989011,0.8838572189664358,0.8963024742841256,0.8922568200606228
remove_outliers_none + features_selection_extratrees + oversampling_svm_smote,0.9005847953216375,0.9050650429006365,0.8758795384182381,0.9012276785714286,0.8924280525286393,0.8824002143048486,0.8878321678321678,0.8892005610098177
remove_outliers_none + features_selection_extratrees + oversampling_adasyn,0.8917233560090704,0.9035307200444814,0.8580459770114943,0.9017308766052485,0.8924280525286393,0.883720930232558,0.8835888699602498,0.870958512160229
remove_outliers_none + features_selection_extratrees + oversampling_smote_borderline,0.8956916099773242,0.8927453769559033,0.8686926605504587,0.8949720670391061,0.884373211219233,0.8769106999195495,0.88712422007941,0.8691860465116279
remove_outliers_none + features_selection_mutual_information + oversampling_none,0.9177559912854031,0.924487594390507,0.8753885278327211,0.9264864864864865,0.9053030303030304,0.8786188579017263,0.9185951538252111,0.890952507296365
remove_outliers_none + features_selection_mutual_information + oversampling_smote,0.919603524229075,0.9263502454991817,0.8729660291178989,0.9284928492849286,0.9052808046940486,0.8837953091684434,0.9161857653201428,0.8873588543101074
remove_outliers_none + features_selection_mutual_information + oversampling_svm_smote,0.9083863825076114,0.8995160831198405,0.8587896253602305,0.9010238907849829,0.8946625247105338,0.8799359658484526,0.9096469279955518,0.8787963220952911
remove_outliers_none + features_selection_mutual_information + oversampling_adasyn,0.9138075313807531,0.9031518624641833,0.8728208059445556,0.9075439591605219,0.8894631065173699,0.8796769851951547,0.9078212290502794,0.8690407811602529
remove_outliers_none + features_selection_mutual_information + oversampling_smote_borderline,0.9009620826259196,0.9019050326983223,0.8666666666666667,0.8977370380979663,0.8907418056354227,0.8766684463427656,0.8983625070581591,0.8725714285714286
remove_outliers_none + features_selection_rfe + oversampling_none,0.9223248234655078,0.9294854342499319,0.888457269700333,0.9296235679214403,0.9106706489275047,0.8761394101876676,0.920152091254753,
remove_outliers_none + features_selection_rfe + oversampling_smote,0.9195592286501376,0.9216335540838853,0.8856026785714285,0.9214601769911505,0.9133683919180736,0.8873427883328874,0.9149931224209079,
remove_outliers_none + features_selection_rfe + oversampling_svm_smote,0.9192924267551134,0.9218793438976925,0.8796138557637706,0.9182638105975198,0.9013605442176872,0.8721560130010835,0.9157691245512288,
remove_outliers_none + features_selection_rfe + oversampling_adasyn,0.9165275459098498,0.9210159084566008,0.8617511520737328,0.9184307084391758,0.906515580736544,0.8762214983713354,0.9129593810444876,
remove_outliers_none + features_selection_rfe + oversampling_smote_borderline,0.9118303571428571,0.9181058495821728,0.8821683309557776,0.9195979899497488,0.8952489982827704,0.869896570495373,0.9175946547884187,
remove_outliers_none + features_selection_variance_threshold + oversampling_none,0.9201852356306184,0.913199228437586,0.8783632286995516,0.926655719759168,0.8900606380174005,0.8556415929203539,0.9179165530406328,
remove_outliers_none + features_selection_variance_threshold + oversampling_smote,0.9193815571507454,0.9172432881262108,0.8753180661577608,0.9227373068432673,0.8974930362116993,0.8561910049972238,0.9129360065915957,
remove_outliers_none + features_selection_variance_threshold + oversampling_svm_smote,0.9149054505005562,0.9102493074792244,0.8751066856330015,0.9235491071428571,0.8944864259725722,0.8612334801762115,0.9107488256424426,
