,RandomForest,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost,K-nearest-neighbor
remove_outliers_none + features_selection_none + oversampling_none,0.8875989445910291,0.8930510314875135,0.8727876106194691,0.8971913089560148,0.8331688055281342,0.8366684694429422,0.8857894736842106,
remove_outliers_none + features_selection_none + oversampling_smote,0.9001079913606912,0.895432030820033,0.8714927048260381,0.9052803483941209,0.8826110806363138,0.841648590021692,0.8901273885350318,
remove_outliers_none + features_selection_none + oversampling_svm_smote,0.9009793253536452,0.8956043956043956,0.8651558073654391,0.9113082039911308,0.8752017213555675,0.8350132625994695,0.8900160170848905,
remove_outliers_none + features_selection_none + oversampling_adasyn,0.900871459694989,0.9038461538461539,0.8715596330275229,0.9064906490649065,0.8930602957906713,0.8429613011777902,0.8890675241157556,
remove_outliers_none + features_selection_none + oversampling_smote_borderline,0.8996674057649667,0.897563676633444,0.8679350867375489,0.9053092501368364,0.8953951108584423,0.84375,0.8934203371397499,
remove_outliers_none + features_selection_extratrees + oversampling_none,0.8790918690601901,0.8761061946902655,0.8758278145695364,0.8644329896907217,0.8523929471032745,0.8291583166332666,0.8762720942688805,0.7736625514403292
remove_outliers_none + features_selection_extratrees + oversampling_smote,0.8866702644360497,0.8910291689598239,0.8680065181966322,0.8839237057220708,0.8756006406833956,0.8349270256668344,0.8808743169398907,0.8694951664876477
remove_outliers_none + features_selection_extratrees + oversampling_svm_smote,0.8865131578947368,0.8856988082340195,0.8712206047032475,0.8888277380297194,0.8813465783664459,0.8377416073245167,0.8777654867256637,0.8815350389321468
remove_outliers_none + features_selection_extratrees + oversampling_adasyn,0.8932424758659853,0.8879781420765027,0.8715703444249854,0.8898071625344353,0.8813465783664459,0.837386018237082,0.8866096866096866,0.8807870370370371
remove_outliers_none + features_selection_extratrees + oversampling_smote_borderline,0.8972174900624645,0.8975972540045767,0.8803021499128414,0.8836183121897407,0.8946149392009265,0.8333333333333334,0.8891415577032404,0.8936043036461446
remove_outliers_none + features_selection_mutual_information + oversampling_none,0.884514435695538,0.8830499742400825,0.8741534988713319,0.8867046042421107,0.8672887506480041,0.8278278278278278,0.885099685204617,0.8386613386613386
remove_outliers_none + features_selection_mutual_information + oversampling_smote,0.8954423592493298,0.8941548183254344,0.8807603686635944,0.9031567683253077,0.8940397350993378,0.8352644836272041,0.8904914529914529,0.8642703862660944
remove_outliers_none + features_selection_mutual_information + oversampling_svm_smote,0.8889490790899242,0.9049255441008018,0.8749266001174398,0.9056603773584906,0.8928974069898534,0.8324078748107017,0.8939890710382513,0.8655323819978046
remove_outliers_none + features_selection_mutual_information + oversampling_adasyn,0.900990099009901,0.914683691236216,0.8816397228637414,0.9096077316657192,0.9026806526806527,0.8388090349075975,0.8963044677330392,0.8822157434402332
remove_outliers_none + features_selection_mutual_information + oversampling_smote_borderline,0.9009620826259196,0.9062857142857143,0.8803269118505546,0.9089327146171694,0.9053185271770894,0.829711975745326,0.8963380281690141,0.881130986728217
remove_outliers_none + features_selection_rfe + oversampling_none,0.8866840731070496,0.8955928646379853,0.8715296679368536,0.8973143759873617,0.8752609603340292,0.8323993886907795,0.8845953002610966,
remove_outliers_none + features_selection_rfe + oversampling_smote,0.8958668813741277,0.8992999461497039,0.8734177215189873,0.9010275824770146,0.8938244853737811,0.8416243654822335,0.8902569593147751,
remove_outliers_none + features_selection_rfe + oversampling_svm_smote,0.8984332793084819,0.9060109289617486,0.8826210826210826,0.9146546883773161,0.9028960817717206,0.8363636363636363,0.8942826321467098,
remove_outliers_none + features_selection_rfe + oversampling_adasyn,0.9014778325123153,0.9085903083700441,0.8774193548387097,0.9161036036036037,0.9075439591605219,0.8419405320813772,0.8920086393088553,
remove_outliers_none + features_selection_rfe + oversampling_smote_borderline,0.899284534947716,0.9040043883708173,0.8895281933256617,0.9074380165289256,0.9056166763173132,0.8379653906659675,0.903013698630137,
remove_outliers_none + features_selection_variance_threshold + oversampling_none,0.8870798319327731,0.8899033297529538,0.8700721821210439,0.8971913089560148,0.8331688055281342,0.8366684694429422,0.8857894736842106,
remove_outliers_none + features_selection_variance_threshold + oversampling_smote,0.8975741239892183,0.8976164680390033,0.8745762711864407,0.9003769520732364,0.8837081733406473,0.8403269754768392,0.8868729989327642,
remove_outliers_none + features_selection_variance_threshold + oversampling_svm_smote,0.8993985784581738,0.8914812805208898,0.879862700228833,0.910842047330765,0.884828349944629,0.8386058981233244,0.8898488120950324,
remove_outliers_none + features_selection_variance_threshold + oversampling_adasyn,0.9034941763727121,0.8945916114790287,0.8735244519392917,0.9061470911086718,0.8942581011938602,0.8429290106204583,0.8902569593147751,
remove_outliers_none + features_selection_variance_threshold + oversampling_smote_borderline,0.9052573932092004,0.898314606741573,0.8817142857142857,0.9077348066298343,0.8923869490555237,0.8426395939086294,0.8902702702702703,
remove_outliers_isolation_forest + features_selection_none + oversampling_none,0.8838912133891214,0.8920086393088553,0.8705818379554106,0.898936170212766,0.8296622613803231,0.8459399332591768,0.8865924748277689,
remove_outliers_isolation_forest + features_selection_none + oversampling_smote,0.8976203652462645,0.8902838427947598,0.867182846932698,0.9028230184581976,0.8806787082649151,0.8783199505867819,0.8881789137380192,
remove_outliers_isolation_forest + features_selection_none + oversampling_svm_smote,0.9055770292655991,0.8972972972972973,0.8663967611336032,0.9078442128359846,0.8819068255687974,0.8581560283687943,0.8894205209994683,
