,RandomForest,K-nearest-neighbor,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost
remove_outliers_none + features_selection_none + oversampling_none,0.7272727272727273,0.6931818181818182,0.6931818181818182,0.75,0.6931818181818182,0.7159090909090909,0.7272727272727273,0.7272727272727273
remove_outliers_none + features_selection_none + oversampling_smote,0.75,0.7045454545454546,0.6477272727272727,0.7045454545454546,0.7159090909090909,0.7045454545454546,0.7159090909090909,0.7386363636363636
remove_outliers_none + features_selection_none + oversampling_svm_smote,0.7159090909090909,0.6931818181818182,0.625,0.7272727272727273,0.6931818181818182,0.7045454545454546,0.7159090909090909,0.7386363636363636
remove_outliers_none + features_selection_none + oversampling_adasyn,0.7727272727272727,0.6931818181818182,0.7045454545454546,0.7272727272727273,0.6818181818181818,0.6704545454545454,0.7272727272727273,0.75
remove_outliers_none + features_selection_none + oversampling_smote_borderline,0.7386363636363636,0.7272727272727273,0.6477272727272727,0.7386363636363636,0.7045454545454546,0.6931818181818182,0.7272727272727273,0.7159090909090909
remove_outliers_none + features_selection_extratrees + oversampling_none,0.6590909090909091,0.6818181818181818,0.6931818181818182,0.7045454545454546,0.6704545454545454,0.7159090909090909,0.6704545454545454,0.6818181818181818
remove_outliers_none + features_selection_extratrees + oversampling_smote,0.6590909090909091,0.6477272727272727,0.6818181818181818,0.6931818181818182,0.6477272727272727,0.6590909090909091,0.6818181818181818,0.6704545454545454
remove_outliers_none + features_selection_extratrees + oversampling_svm_smote,0.6590909090909091,0.6818181818181818,0.7159090909090909,0.6136363636363636,0.6818181818181818,0.6704545454545454,0.6818181818181818,0.6704545454545454
remove_outliers_none + features_selection_extratrees + oversampling_adasyn,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.6931818181818182,0.6477272727272727,0.625,0.6704545454545454,0.6704545454545454
remove_outliers_none + features_selection_extratrees + oversampling_smote_borderline,0.6590909090909091,0.6477272727272727,0.6590909090909091,0.6931818181818182,0.6590909090909091,0.6590909090909091,0.6704545454545454,0.6818181818181818
remove_outliers_none + features_selection_mutual_information + oversampling_none,0.7045454545454546,0.7045454545454546,0.7159090909090909,0.6477272727272727,0.7045454545454546,0.7272727272727273,0.7045454545454546,0.6931818181818182
remove_outliers_none + features_selection_mutual_information + oversampling_smote,0.6818181818181818,0.7386363636363636,0.6363636363636364,0.6931818181818182,0.6477272727272727,0.6931818181818182,0.7045454545454546,0.6931818181818182
remove_outliers_none + features_selection_mutual_information + oversampling_svm_smote,0.7045454545454546,0.6477272727272727,0.6477272727272727,0.7159090909090909,0.6704545454545454,0.7045454545454546,0.6931818181818182,0.6931818181818182
remove_outliers_none + features_selection_mutual_information + oversampling_adasyn,0.7272727272727273,0.6931818181818182,0.625,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.7045454545454546,0.7045454545454546
remove_outliers_none + features_selection_mutual_information + oversampling_smote_borderline,0.7159090909090909,0.6590909090909091,0.6931818181818182,0.6704545454545454,0.6590909090909091,0.6590909090909091,0.7045454545454546,0.7159090909090909
remove_outliers_none + features_selection_rfe + oversampling_none,0.7272727272727273,0.6590909090909091,0.6931818181818182,0.75,0.6704545454545454,0.6931818181818182,0.7159090909090909,0.6704545454545454
remove_outliers_none + features_selection_rfe + oversampling_smote,0.7272727272727273,0.6590909090909091,0.6704545454545454,0.6931818181818182,0.6818181818181818,0.6818181818181818,0.7045454545454546,0.7159090909090909
remove_outliers_none + features_selection_rfe + oversampling_svm_smote,0.7272727272727273,0.6704545454545454,0.6590909090909091,0.7386363636363636,0.7045454545454546,0.6931818181818182,0.6931818181818182,0.6931818181818182
remove_outliers_none + features_selection_rfe + oversampling_adasyn,0.7386363636363636,0.6704545454545454,0.6818181818181818,0.7386363636363636,0.6818181818181818,0.7045454545454546,0.7045454545454546,0.6704545454545454
remove_outliers_none + features_selection_rfe + oversampling_smote_borderline,0.7272727272727273,0.6818181818181818,0.6818181818181818,0.75,0.7045454545454546,0.6931818181818182,0.7272727272727273,0.6931818181818182
remove_outliers_none + features_selection_variance_threshold + oversampling_none,0.7272727272727273,0.6931818181818182,0.6818181818181818,0.7613636363636364,0.6931818181818182,0.7159090909090909,0.7272727272727273,0.7272727272727273
remove_outliers_none + features_selection_variance_threshold + oversampling_smote,0.75,0.6931818181818182,0.7386363636363636,0.7045454545454546,0.6704545454545454,0.6818181818181818,0.7272727272727273,0.7386363636363636
remove_outliers_none + features_selection_variance_threshold + oversampling_svm_smote,0.7272727272727273,0.7159090909090909,0.6590909090909091,0.7045454545454546,0.7272727272727273,0.7159090909090909,0.7159090909090909,0.7159090909090909
remove_outliers_none + features_selection_variance_threshold + oversampling_adasyn,0.7613636363636364,0.7272727272727273,0.625,0.7045454545454546,0.6931818181818182,0.6704545454545454,0.7272727272727273,0.7727272727272727
remove_outliers_none + features_selection_variance_threshold + oversampling_smote_borderline,0.7272727272727273,0.7159090909090909,0.7386363636363636,0.6136363636363636,0.6590909090909091,0.6590909090909091,0.7272727272727273,0.75
remove_outliers_isolation_forest + features_selection_none + oversampling_none,0.75,0.6818181818181818,0.7159090909090909,0.6818181818181818,0.7272727272727273,0.7045454545454546,0.7272727272727273,0.7159090909090909
remove_outliers_isolation_forest + features_selection_none + oversampling_smote,0.7613636363636364,0.7045454545454546,0.6022727272727273,0.7159090909090909,0.6704545454545454,0.7045454545454546,0.7272727272727273,0.7159090909090909
remove_outliers_isolation_forest + features_selection_none + oversampling_svm_smote,0.7613636363636364,0.7159090909090909,0.5,0.75,0.6818181818181818,0.7045454545454546,0.7045454545454546,0.7159090909090909
remove_outliers_isolation_forest + features_selection_none + oversampling_adasyn,0.7613636363636364,0.7272727272727273,0.5454545454545454,0.7272727272727273,0.6590909090909091,0.6818181818181818,0.7045454545454546,0.7613636363636364
remove_outliers_isolation_forest + features_selection_none + oversampling_smote_borderline,0.75,0.7159090909090909,0.5568181818181818,0.625,0.6477272727272727,0.6818181818181818,0.7159090909090909,0.7159090909090909
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_none,0.6704545454545454,0.6704545454545454,0.6477272727272727,0.6704545454545454,0.6704545454545454,0.6590909090909091,0.6818181818181818,0.6818181818181818
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_smote,0.625,0.7272727272727273,0.6363636363636364,0.6590909090909091,0.6704545454545454,0.6477272727272727,0.6818181818181818,0.6704545454545454
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_svm_smote,0.7045454545454546,0.6363636363636364,0.6022727272727273,0.7272727272727273,0.6931818181818182,0.625,0.6931818181818182,0.6931818181818182
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_adasyn,0.625,0.6931818181818182,0.6704545454545454,0.6590909090909091,0.6818181818181818,0.6590909090909091,0.6590909090909091,0.6477272727272727
remove_outliers_isolation_forest + features_selection_extratrees + oversampling_smote_borderline,0.6477272727272727,0.6136363636363636,0.6590909090909091,0.625,0.6704545454545454,0.5795454545454546,0.6818181818181818,0.6477272727272727
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_none,0.7045454545454546,0.7159090909090909,0.7045454545454546,0.6136363636363636,0.6704545454545454,0.7272727272727273,0.7045454545454546,0.6931818181818182
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote,0.6931818181818182,0.6931818181818182,0.7045454545454546,0.6931818181818182,0.625,0.7159090909090909,0.7045454545454546,0.6818181818181818
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_svm_smote,0.6931818181818182,0.7159090909090909,0.6477272727272727,0.7045454545454546,0.6022727272727273,0.7272727272727273,0.6931818181818182,0.7159090909090909
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_adasyn,0.6818181818181818,0.6818181818181818,0.5568181818181818,0.6477272727272727,0.6136363636363636,0.7045454545454546,0.7159090909090909,0.6704545454545454
remove_outliers_isolation_forest + features_selection_mutual_information + oversampling_smote_borderline,0.7045454545454546,0.7045454545454546,0.6477272727272727,0.6931818181818182,0.6477272727272727,0.6590909090909091,0.7045454545454546,0.7045454545454546
remove_outliers_isolation_forest + features_selection_rfe + oversampling_none,0.7272727272727273,0.6477272727272727,0.6818181818181818,0.7613636363636364,0.6477272727272727,0.7159090909090909,0.6931818181818182,0.6818181818181818
remove_outliers_isolation_forest + features_selection_rfe + oversampling_smote,0.6818181818181818,0.6931818181818182,0.6704545454545454,0.6931818181818182,0.6818181818181818,0.7045454545454546,0.7045454545454546,0.6477272727272727
remove_outliers_isolation_forest + features_selection_rfe + oversampling_svm_smote,0.7386363636363636,0.6363636363636364,0.6704545454545454,0.7386363636363636,0.7045454545454546,0.6931818181818182,0.6818181818181818,0.6931818181818182
remove_outliers_isolation_forest + features_selection_rfe + oversampling_adasyn,0.6477272727272727,0.6931818181818182,0.6704545454545454,0.6477272727272727,0.6931818181818182,0.6818181818181818,0.6931818181818182,0.6477272727272727
remove_outliers_isolation_forest + features_selection_rfe + oversampling_smote_borderline,0.6590909090909091,0.6022727272727273,0.4659090909090909,0.625,0.6931818181818182,0.6590909090909091,0.6704545454545454,0.6818181818181818
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_none,0.7159090909090909,0.6818181818181818,0.4772727272727273,0.6818181818181818,0.6931818181818182,0.7159090909090909,0.7272727272727273,0.7045454545454546
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_smote,0.7386363636363636,0.6818181818181818,0.5681818181818182,0.7045454545454546,0.6704545454545454,0.7045454545454546,0.7272727272727273,0.7045454545454546
remove_outliers_isolation_forest + features_selection_variance_threshold + oversampling_svm_smote,0.7613636363636364,0.6704545454545454,0.6704545454545454,0.7159090909090909,0.6818181818181818,0.7045454545454546,0.7159090909090909,0.7159090909090909
