,RandomForest,K-nearest-neighbor,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost
remove_outliers_none + features_selection_none + oversampling_none,0.6470588235294118,0.6493506493506493,0.6823529411764706,0.676470588235294,0.5970149253731343,0.576271186440678,0.6363636363636364,0.6470588235294118
remove_outliers_none + features_selection_none + oversampling_smote,0.6857142857142857,0.675,0.651685393258427,0.606060606060606,0.6835443037974683,0.6666666666666666,0.626865671641791,0.676056338028169
remove_outliers_none + features_selection_none + oversampling_svm_smote,0.626865671641791,0.6582278481012659,0.56,0.6470588235294118,0.6666666666666667,0.675,0.626865671641791,0.6461538461538462
remove_outliers_none + features_selection_none + oversampling_adasyn,0.7142857142857143,0.674698795180723,0.6285714285714286,0.625,0.6585365853658536,0.6419753086419753,0.6470588235294118,0.7027027027027027
remove_outliers_none + features_selection_none + oversampling_smote_borderline,0.676056338028169,0.7073170731707318,0.5507246376811593,0.6567164179104478,0.675,0.6582278481012659,0.6470588235294118,0.647887323943662
remove_outliers_none + features_selection_extratrees + oversampling_none,0.5945945945945945,0.6,0.5846153846153846,0.6176470588235293,0.5671641791044776,0.5901639344262295,0.5538461538461538,0.611111111111111
remove_outliers_none + features_selection_extratrees + oversampling_smote,0.5945945945945945,0.5633802816901409,0.6410256410256411,0.5846153846153846,0.5753424657534247,0.6341463414634146,0.5757575757575757,0.6027397260273972
remove_outliers_none + features_selection_extratrees + oversampling_svm_smote,0.5945945945945945,0.588235294117647,0.6666666666666666,0.5277777777777778,0.6216216216216216,0.6233766233766234,0.5757575757575757,0.6027397260273972
remove_outliers_none + features_selection_extratrees + oversampling_adasyn,0.5945945945945945,0.5833333333333333,0.605263157894737,0.5970149253731343,0.5974025974025974,0.5822784810126581,0.5797101449275363,0.6027397260273972
remove_outliers_none + features_selection_extratrees + oversampling_smote_borderline,0.5945945945945945,0.5753424657534247,0.6153846153846154,0.608695652173913,0.5833333333333333,0.6428571428571429,0.5797101449275363,0.611111111111111
remove_outliers_none + features_selection_mutual_information + oversampling_none,0.6285714285714286,0.606060606060606,0.6376811594202899,0.5373134328358209,0.606060606060606,0.6129032258064516,0.606060606060606,0.619718309859155
remove_outliers_none + features_selection_mutual_information + oversampling_smote,0.6216216216216216,0.676056338028169,0.19999999999999998,0.6301369863013698,0.5866666666666667,0.6582278481012659,0.606060606060606,0.6301369863013698
remove_outliers_none + features_selection_mutual_information + oversampling_svm_smote,0.6486486486486486,0.6075949367088607,0.6736842105263158,0.6376811594202899,0.6027397260273972,0.6578947368421052,0.5846153846153846,0.608695652173913
remove_outliers_none + features_selection_mutual_information + oversampling_adasyn,0.6756756756756757,0.6493506493506493,0.6117647058823529,0.5588235294117646,0.6153846153846154,0.6511627906976745,0.606060606060606,0.6388888888888888
remove_outliers_none + features_selection_mutual_information + oversampling_smote_borderline,0.6575342465753424,0.6153846153846154,0.6666666666666667,0.6133333333333333,0.6153846153846154,0.6428571428571429,0.606060606060606,0.6575342465753424
remove_outliers_none + features_selection_rfe + oversampling_none,0.6571428571428571,0.5454545454545455,0.6666666666666667,0.6857142857142857,0.5797101449275363,0.5573770491803278,0.603174603174603,0.5671641791044776
