,RandomForest,K-nearest-neighbor,Artificial Neural Network,Decision Tree,Logistic Regression,Support Vector Machine,Naive Bayes,XG-boost
remove_outliers_none + features_selection_none + oversampling_none,0.6285714285714286,0.7142857142857143,0.8285714285714286,0.6571428571428571,0.5714285714285714,0.4857142857142857,0.6,0.6285714285714286
remove_outliers_none + features_selection_none + oversampling_smote,0.6857142857142857,0.7714285714285715,0.8285714285714286,0.5714285714285714,0.7714285714285715,0.7428571428571429,0.6,0.6857142857142857
remove_outliers_none + features_selection_none + oversampling_svm_smote,0.6,0.7428571428571429,0.6,0.6285714285714286,0.7714285714285715,0.7714285714285715,0.6,0.6
remove_outliers_none + features_selection_none + oversampling_adasyn,0.7142857142857143,0.8,0.6285714285714286,0.5714285714285714,0.7714285714285715,0.7428571428571429,0.6285714285714286,0.7428571428571429
remove_outliers_none + features_selection_none + oversampling_smote_borderline,0.6857142857142857,0.8285714285714286,0.5428571428571428,0.6285714285714286,0.7714285714285715,0.7428571428571429,0.6285714285714286,0.6571428571428571
remove_outliers_none + features_selection_extratrees + oversampling_none,0.6285714285714286,0.6,0.5428571428571428,0.6,0.5428571428571428,0.5142857142857142,0.5142857142857142,0.6285714285714286
remove_outliers_none + features_selection_extratrees + oversampling_smote,0.6285714285714286,0.5714285714285714,0.7142857142857143,0.5428571428571428,0.6,0.7428571428571429,0.5428571428571428,0.6285714285714286
remove_outliers_none + features_selection_extratrees + oversampling_svm_smote,0.6285714285714286,0.5714285714285714,0.7142857142857143,0.5428571428571428,0.6571428571428571,0.6857142857142857,0.5428571428571428,0.6285714285714286
remove_outliers_none + features_selection_extratrees + oversampling_adasyn,0.6285714285714286,0.6,0.6571428571428571,0.5714285714285714,0.6571428571428571,0.6571428571428571,0.5714285714285714,0.6285714285714286
remove_outliers_none + features_selection_extratrees + oversampling_smote_borderline,0.6285714285714286,0.6,0.6857142857142857,0.6,0.6,0.7714285714285715,0.5714285714285714,0.6285714285714286
remove_outliers_none + features_selection_mutual_information + oversampling_none,0.6285714285714286,0.5714285714285714,0.6285714285714286,0.5142857142857142,0.5714285714285714,0.5428571428571428,0.5714285714285714,0.6285714285714286
remove_outliers_none + features_selection_mutual_information + oversampling_smote,0.6571428571428571,0.6857142857142857,0.11428571428571428,0.6571428571428571,0.6285714285714286,0.7428571428571429,0.5714285714285714,0.6571428571428571
remove_outliers_none + features_selection_mutual_information + oversampling_svm_smote,0.6857142857142857,0.6857142857142857,0.9142857142857143,0.6285714285714286,0.6285714285714286,0.7142857142857143,0.5428571428571428,0.6
remove_outliers_none + features_selection_mutual_information + oversampling_adasyn,0.7142857142857143,0.7142857142857143,0.7428571428571429,0.5428571428571428,0.6857142857142857,0.8,0.5714285714285714,0.6571428571428571
remove_outliers_none + features_selection_mutual_information + oversampling_smote_borderline,0.6857142857142857,0.6857142857142857,0.7714285714285715,0.6571428571428571,0.6857142857142857,0.7714285714285715,0.5714285714285714,0.6857142857142857
remove_outliers_none + features_selection_rfe + oversampling_none,0.6571428571428571,0.5142857142857142,0.7714285714285715,0.6857142857142857,0.5714285714285714,0.4857142857142857,0.5428571428571428,0.5428571428571428
remove_outliers_none + features_selection_rfe + oversampling_smote,0.6571428571428571,0.5428571428571428,0.8,0.6,0.6857142857142857,0.6285714285714286,0.5714285714285714,0.6285714285714286
remove_outliers_none + features_selection_rfe + oversampling_svm_smote,0.6571428571428571,0.6,0.8285714285714286,0.7428571428571429,0.7428571428571429,0.7142857142857143,0.5714285714285714,0.6
remove_outliers_none + features_selection_rfe + oversampling_adasyn,0.6857142857142857,0.6857142857142857,0.8285714285714286,0.6857142857142857,0.6571428571428571,0.7428571428571429,0.6,0.5714285714285714
remove_outliers_none + features_selection_rfe + oversampling_smote_borderline,0.6857142857142857,0.6571428571428571,0.8285714285714286,0.6571428571428571,0.7428571428571429,0.7428571428571429,0.6571428571428571,0.6
remove_outliers_none + features_selection_variance_threshold + oversampling_none,0.6,0.7142857142857143,0.45714285714285713,0.6571428571428571,0.5714285714285714,0.4857142857142857,0.6,0.6285714285714286
remove_outliers_none + features_selection_variance_threshold + oversampling_smote,0.6571428571428571,0.7714285714285715,0.7142857142857143,0.6,0.7142857142857143,0.7428571428571429,0.6285714285714286,0.6571428571428571
remove_outliers_none + features_selection_variance_threshold + oversampling_svm_smote,0.6,0.7714285714285715,0.8,0.5714285714285714,0.7142857142857143,0.6857142857142857,0.6,0.6857142857142857
remove_outliers_none + features_selection_variance_threshold + oversampling_adasyn,0.7142857142857143,0.8571428571428571,0.22857142857142856,0.6857142857142857,0.7714285714285715,0.7142857142857143,0.6285714285714286,0.7142857142857143
remove_outliers_none + features_selection_variance_threshold + oversampling_smote_borderline,0.6571428571428571,0.8571428571428571,0.7714285714285715,0.5714285714285714,0.6571428571428571,0.7428571428571429,0.6285714285714286,0.7142857142857143
remove_outliers_isolation_forest + features_selection_none + oversampling_none,0.6571428571428571,0.6857142857142857,0.7714285714285715,0.6,0.6571428571428571,0.4857142857142857,0.6285714285714286,0.6
